Timestamp,Kabupaten,Kecamatan,Luas_Tanam_Ha,Asumsi_Prod_TonHa,Estimasi_Total_Ton
2026-05-14 21:47:34,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 21:47:51,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 21:48:11,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 21:48:22,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:03:41,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:03:56,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:21:49,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:24:46,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:26:11,Boyolali,Ampel,13.65,5.8,1350.12
2026-05-14 22:26:13,Boyolali,Juwangi,3.87,5.8,546.19
2026-05-14 22:26:20,Boyolali,Juwangi,5.0,5.8,549.14
2026-05-14 22:26:34,Boyolali,Juwangi,5.0,5.8,549.14
2026-05-14 22:26:35,Boyolali,Juwangi,5.0,5.8,549.14
2026-05-14 22:26:35,Boyolali,Juwangi,5.0,5.8,549.14
2026-05-14 22:34:22,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:34:49,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-14 22:42:06,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:21:47,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:22:14,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:26:51,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:31:25,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:39:06,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:44:29,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:45:10,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:45:23,Banjarnegara,Banjarmangu,73.07,5.8,1261.96
2026-05-18 20:45:32,Banjarnegara,Banjarmangu,73.07,5.8,1261.96
2026-05-18 20:50:33,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:51:01,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
2026-05-18 20:51:10,Banjarnegara,Banjarmangu,65.24,5.8,1375.35
